"state","county","fips","countytype","countylabel","cbsa","cbsatitle","cbsatype","cbsalabel","cbsafipslabel","csa","csatitle","csalabel","csafipslabel"
"GA","Pickens County","13227","outlying","Pickens County, GA (outlying): 13227","12060","Atlanta-Sandy Springs-Roswell, GA","metro","Atlanta-Sandy Springs-Roswell, GA (metro): 12060","c('13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Pike County","13231","outlying","Pike County, GA (outlying): 13231","12060","Atlanta-Sandy Springs-Roswell, GA","metro","Atlanta-Sandy Springs-Roswell, GA (metro): 12060","c('13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Rockdale County","13247","central","Rockdale County, GA (central): 13247","12060","Atlanta-Sandy Springs-Roswell, GA","metro","Atlanta-Sandy Springs-Roswell, GA (metro): 12060","c('13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Spalding County","13255","outlying","Spalding County, GA (outlying): 13255","12060","Atlanta-Sandy Springs-Roswell, GA","metro","Atlanta-Sandy Springs-Roswell, GA (metro): 12060","c('13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"GA","Walton County","13297","central","Walton County, GA (central): 13297","12060","Atlanta-Sandy Springs-Roswell, GA","metro","Atlanta-Sandy Springs-Roswell, GA (metro): 12060","c('13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297')","122","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL: 122","c('13059','13195','13219','13221','13013','13015','13035','13045','13057','13063','13067','13077','13085','13089','13097','13113','13117','13121','13135','13143','13149','13151','13159','13187','13199','13211','13217','13223','13227','13231','13247','13255','13297','13129','13233','13137','13139','13157','01017','13285','13115','13293')"
"NJ","Atlantic County","34001","central","Atlantic County, NJ (central): 34001","12100","Atlantic City-Hammonton, NJ","metro","Atlantic City-Hammonton, NJ (metro): 12100","c('34001','34009')","428","Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD: 428","c('34001','34009','10001','10003','24015','34005','34007','34015','34033','42017','42029','42045','42091','42101','42011','34011')"
"NJ","Cape May County","34009","central","Cape May County, NJ (central): 34009","12100","Atlantic City-Hammonton, NJ","metro","Atlantic City-Hammonton, NJ (metro): 12100","c('34001','34009')","428","Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD: 428","c('34001','34009','10001','10003','24015','34005','34007','34015','34033','42017','42029','42045','42091','42101','42011','34011')"
"IN","DeKalb County","18033","central","DeKalb County, IN (central): 18033","12140","Auburn, IN","micro","Auburn, IN (micro): 12140","c('18033')","258","Fort Wayne-Huntington-Auburn, IN","Fort Wayne-Huntington-Auburn, IN: 258","c('18151','18033','18001','18003','18179','18183','18069','18113')"
"NY","Cayuga County","36011","central","Cayuga County, NY (central): 36011","12180","Auburn, NY","micro","Auburn, NY (micro): 12180","c('36011')","532","Syracuse-Auburn, NY","Syracuse-Auburn, NY: 532","c('36011','36053','36067','36075')"
"AL","Lee County","01081","central","Lee County, AL (central): 01081","12220","Auburn-Opelika, AL","metro","Auburn-Opelika, AL (metro): 12220","c('01081','01087')","194","Columbus-Auburn-Opelika, GA-AL","Columbus-Auburn-Opelika, GA-AL: 194","c('01123','01081','01087','01113','13053','13145','13197','13215','13259','13263')"
"AL","Macon County","01087","outlying","Macon County, AL (outlying): 01087","12220","Auburn-Opelika, AL","metro","Auburn-Opelika, AL (metro): 12220","c('01081','01087')","194","Columbus-Auburn-Opelika, GA-AL","Columbus-Auburn-Opelika, GA-AL: 194","c('01123','01081','01087','01113','13053','13145','13197','13215','13259','13263')"
"GA","Burke County","13033","outlying","Burke County, GA (outlying): 13033","12260","Augusta-Richmond County, GA-SC","metro","Augusta-Richmond County, GA-SC (metro): 12260","c('13033','13073','13181','13189','13245','45003','45037')","","","",""
"GA","Columbia County","13073","central","Columbia County, GA (central): 13073","12260","Augusta-Richmond County, GA-SC","metro","Augusta-Richmond County, GA-SC (metro): 12260","c('13033','13073','13181','13189','13245','45003','45037')","","","",""
"GA","Lincoln County","13181","outlying","Lincoln County, GA (outlying): 13181","12260","Augusta-Richmond County, GA-SC","metro","Augusta-Richmond County, GA-SC (metro): 12260","c('13033','13073','13181','13189','13245','45003','45037')","","","",""
"GA","McDuffie County","13189","outlying","McDuffie County, GA (outlying): 13189","12260","Augusta-Richmond County, GA-SC","metro","Augusta-Richmond County, GA-SC (metro): 12260","c('13033','13073','13181','13189','13245','45003','45037')","","","",""
"GA","Richmond County","13245","central","Richmond County, GA (central): 13245","12260","Augusta-Richmond County, GA-SC","metro","Augusta-Richmond County, GA-SC (metro): 12260","c('13033','13073','13181','13189','13245','45003','45037')","","","",""
"SC","Aiken County","45003","central","Aiken County, SC (central): 45003","12260","Augusta-Richmond County, GA-SC","metro","Augusta-Richmond County, GA-SC (metro): 12260","c('13033','13073','13181','13189','13245','45003','45037')","","","",""
"SC","Edgefield County","45037","outlying","Edgefield County, SC (outlying): 45037","12260","Augusta-Richmond County, GA-SC","metro","Augusta-Richmond County, GA-SC (metro): 12260","c('13033','13073','13181','13189','13245','45003','45037')","","","",""
"ME","Kennebec County","23011","central","Kennebec County, ME (central): 23011","12300","Augusta-Waterville, ME","micro","Augusta-Waterville, ME (micro): 12300","c('23011')","","","",""
"MN","Mower County","27099","central","Mower County, MN (central): 27099","12380","Austin, MN","micro","Austin, MN (micro): 12380","c('27099')","462","Rochester-Austin-Winona, MN","Rochester-Austin-Winona, MN: 462","c('27099','27039','27045','27109','27157','27169')"
"TX","Bastrop County","48021","outlying","Bastrop County, TX (outlying): 48021","12420","Austin-Round Rock-San Marcos, TX","metro","Austin-Round Rock-San Marcos, TX (metro): 12420","c('48021','48055','48209','48453','48491')","","","",""
"TX","Caldwell County","48055","outlying","Caldwell County, TX (outlying): 48055","12420","Austin-Round Rock-San Marcos, TX","metro","Austin-Round Rock-San Marcos, TX (metro): 12420","c('48021','48055','48209','48453','48491')","","","",""
"TX","Hays County","48209","central","Hays County, TX (central): 48209","12420","Austin-Round Rock-San Marcos, TX","metro","Austin-Round Rock-San Marcos, TX (metro): 12420","c('48021','48055','48209','48453','48491')","","","",""
"TX","Travis County","48453","central","Travis County, TX (central): 48453","12420","Austin-Round Rock-San Marcos, TX","metro","Austin-Round Rock-San Marcos, TX (metro): 12420","c('48021','48055','48209','48453','48491')","","","",""
"TX","Williamson County","48491","central","Williamson County, TX (central): 48491","12420","Austin-Round Rock-San Marcos, TX","metro","Austin-Round Rock-San Marcos, TX (metro): 12420","c('48021','48055','48209','48453','48491')","","","",""
"GA","Decatur County","13087","central","Decatur County, GA (central): 13087","12460","Bainbridge, GA","micro","Bainbridge, GA (micro): 12460","c('13087')","533","Tallahassee-Bainbridge, FL-GA","Tallahassee-Bainbridge, FL-GA: 533","c('13087','12039','12065','12073','12129')"
"OR","Baker County","41001","central","Baker County, OR (central): 41001","12520","Baker City, OR","micro","Baker City, OR (micro): 12520","c('41001')","","","",""
"CA","Kern County","06029","central","Kern County, CA (central): 06029","12540","Bakersfield-Delano, CA","metro","Bakersfield-Delano, CA (metro): 12540","c('06029')","","","",""
"MD","Anne Arundel County","24003","central","Anne Arundel County, MD (central): 24003","12580","Baltimore-Columbia-Towson, MD","metro","Baltimore-Columbia-Towson, MD (metro): 12580","c('24003','24005','24013','24025','24027','24035','24510')","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA: 548","c('24003','24005','24013','24025','24027','24035','24510','24019','42055','24041','24043','54003','54065','51137','24009','24037','11001','24017','24021','24031','24033','51013','51043','51047','51059','51061','51107','51153','51157','51177','51179','51187','51510','51600','51610','51630','51683','51685','54037','51069','51840','54027')"
"MD","Baltimore County","24005","central","Baltimore County, MD (central): 24005","12580","Baltimore-Columbia-Towson, MD","metro","Baltimore-Columbia-Towson, MD (metro): 12580","c('24003','24005','24013','24025','24027','24035','24510')","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA: 548","c('24003','24005','24013','24025','24027','24035','24510','24019','42055','24041','24043','54003','54065','51137','24009','24037','11001','24017','24021','24031','24033','51013','51043','51047','51059','51061','51107','51153','51157','51177','51179','51187','51510','51600','51610','51630','51683','51685','54037','51069','51840','54027')"
"MD","Carroll County","24013","outlying","Carroll County, MD (outlying): 24013","12580","Baltimore-Columbia-Towson, MD","metro","Baltimore-Columbia-Towson, MD (metro): 12580","c('24003','24005','24013','24025','24027','24035','24510')","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA: 548","c('24003','24005','24013','24025','24027','24035','24510','24019','42055','24041','24043','54003','54065','51137','24009','24037','11001','24017','24021','24031','24033','51013','51043','51047','51059','51061','51107','51153','51157','51177','51179','51187','51510','51600','51610','51630','51683','51685','54037','51069','51840','54027')"
"MD","Harford County","24025","outlying","Harford County, MD (outlying): 24025","12580","Baltimore-Columbia-Towson, MD","metro","Baltimore-Columbia-Towson, MD (metro): 12580","c('24003','24005','24013','24025','24027','24035','24510')","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA: 548","c('24003','24005','24013','24025','24027','24035','24510','24019','42055','24041','24043','54003','54065','51137','24009','24037','11001','24017','24021','24031','24033','51013','51043','51047','51059','51061','51107','51153','51157','51177','51179','51187','51510','51600','51610','51630','51683','51685','54037','51069','51840','54027')"
"MD","Howard County","24027","central","Howard County, MD (central): 24027","12580","Baltimore-Columbia-Towson, MD","metro","Baltimore-Columbia-Towson, MD (metro): 12580","c('24003','24005','24013','24025','24027','24035','24510')","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA: 548","c('24003','24005','24013','24025','24027','24035','24510','24019','42055','24041','24043','54003','54065','51137','24009','24037','11001','24017','24021','24031','24033','51013','51043','51047','51059','51061','51107','51153','51157','51177','51179','51187','51510','51600','51610','51630','51683','51685','54037','51069','51840','54027')"
"MD","Queen Anne's County","24035","outlying","Queen Anne's County, MD (outlying): 24035","12580","Baltimore-Columbia-Towson, MD","metro","Baltimore-Columbia-Towson, MD (metro): 12580","c('24003','24005','24013','24025','24027','24035','24510')","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA: 548","c('24003','24005','24013','24025','24027','24035','24510','24019','42055','24041','24043','54003','54065','51137','24009','24037','11001','24017','24021','24031','24033','51013','51043','51047','51059','51061','51107','51153','51157','51177','51179','51187','51510','51600','51610','51630','51683','51685','54037','51069','51840','54027')"
"MD","Baltimore city","24510","central","Baltimore city, MD (central): 24510","12580","Baltimore-Columbia-Towson, MD","metro","Baltimore-Columbia-Towson, MD (metro): 12580","c('24003','24005','24013','24025','24027','24035','24510')","548","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA: 548","c('24003','24005','24013','24025','24027','24035','24510','24019','42055','24041','24043','54003','54065','51137','24009','24037','11001','24017','24021','24031','24033','51013','51043','51047','51059','51061','51107','51153','51157','51177','51179','51187','51510','51600','51610','51630','51683','51685','54037','51069','51840','54027')"
"ME","Penobscot County","23019","central","Penobscot County, ME (central): 23019","12620","Bangor, ME","metro","Bangor, ME (metro): 12620","c('23019')","","","",""
"WI","Sauk County","55111","central","Sauk County, WI (central): 55111","12660","Baraboo, WI","micro","Baraboo, WI (micro): 12660","c('55111')","357","Madison-Janesville-Beloit, WI","Madison-Janesville-Beloit, WI: 357","c('55111','55105','55021','55025','55045','55049')"
"MA","Barnstable County","25001","central","Barnstable County, MA (central): 25001","12700","Barnstable Town, MA","metro","Barnstable Town, MA (metro): 12700","c('25001')","148","Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH: 148","c('25001','25009','25017','25021','25023','25025','33015','33017','33013','33001','33011','25005','44001','44003','44005','44007','44009','25027')"
"VT","Washington County","50023","central","Washington County, VT (central): 50023","12740","Barre, VT","micro","Barre, VT (micro): 12740","c('50023')","162","Burlington-South Burlington-Barre, VT","Burlington-South Burlington-Barre, VT: 162","c('50023','50007','50011','50013')"
"OK","Washington County","40147","central","Washington County, OK (central): 40147","12780","Bartlesville, OK","micro","Bartlesville, OK (micro): 12780","c('40147')","538","Tulsa-Bartlesville-Muskogee, OK","Tulsa-Bartlesville-Muskogee, OK: 538","c('40147','40101','40037','40111','40113','40117','40131','40143','40145')"
"NY","Genesee County","36037","central","Genesee County, NY (central): 36037","12860","Batavia, NY","micro","Batavia, NY (micro): 12860","c('36037')","464","Rochester-Batavia-Seneca Falls, NY","Rochester-Batavia-Seneca Falls, NY: 464","c('36037','36051','36055','36069','36073','36117','36099')"
"AR","Independence County","05063","central","Independence County, AR (central): 05063","12900","Batesville, AR","micro","Batesville, AR (micro): 12900","c('05063')","","","",""
"LA","Ascension Parish","22005","central","Ascension Parish, LA (central): 22005","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","Assumption Parish","22007","outlying","Assumption Parish, LA (outlying): 22007","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","East Baton Rouge Parish","22033","central","East Baton Rouge Parish, LA (central): 22033","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","East Feliciana Parish","22037","outlying","East Feliciana Parish, LA (outlying): 22037","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","Iberville Parish","22047","central","Iberville Parish, LA (central): 22047","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","Livingston Parish","22063","central","Livingston Parish, LA (central): 22063","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","Pointe Coupee Parish","22077","outlying","Pointe Coupee Parish, LA (outlying): 22077","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","St. Helena Parish","22091","outlying","St. Helena Parish, LA (outlying): 22091","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","West Baton Rouge Parish","22121","central","West Baton Rouge Parish, LA (central): 22121","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"LA","West Feliciana Parish","22125","outlying","West Feliciana Parish, LA (outlying): 22125","12940","Baton Rouge, LA","metro","Baton Rouge, LA (metro): 12940","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125')","132","Baton Rouge-Hammond, LA","Baton Rouge-Hammond, LA: 132","c('22005','22007','22033','22037','22047','22063','22077','22091','22121','22125','22105')"
"MI","Calhoun County","26025","central","Calhoun County, MI (central): 26025","12980","Battle Creek, MI","metro","Battle Creek, MI (metro): 12980","c('26025')","310","Kalamazoo-Battle Creek-Portage, MI","Kalamazoo-Battle Creek-Portage, MI: 310","c('26025','26077','26149')"
"MI","Bay County","26017","central","Bay County, MI (central): 26017","13020","Bay City, MI","metro","Bay City, MI (metro): 13020","c('26017')","474","Saginaw-Midland-Bay City, MI","Saginaw-Midland-Bay City, MI: 474","c('26017','26111','26145')"
"TX","Matagorda County","48321","central","Matagorda County, TX (central): 48321","13060","Bay City, TX","micro","Bay City, TX (micro): 13060","c('48321')","288","Houston-Pasadena, TX","Houston-Pasadena, TX: 288","c('48321','48477','48481','48015','48039','48071','48157','48167','48201','48291','48339','48407','48473','48471')"
"NE","Gage County","31067","central","Gage County, NE (central): 31067","13100","Beatrice, NE","micro","Beatrice, NE (micro): 13100","c('31067')","339","Lincoln-Beatrice, NE","Lincoln-Beatrice, NE: 339","c('31067','31109','31159')"
"TX","Hardin County","48199","outlying","Hardin County, TX (outlying): 48199","13140","Beaumont-Port Arthur, TX","metro","Beaumont-Port Arthur, TX (metro): 13140","c('48199','48245','48361')","","","",""
"TX","Jefferson County","48245","central","Jefferson County, TX (central): 48245","13140","Beaumont-Port Arthur, TX","metro","Beaumont-Port Arthur, TX (metro): 13140","c('48199','48245','48361')","","","",""
"TX","Orange County","48361","outlying","Orange County, TX (outlying): 48361","13140","Beaumont-Port Arthur, TX","metro","Beaumont-Port Arthur, TX (metro): 13140","c('48199','48245','48361')","","","",""
"WI","Dodge County","55027","central","Dodge County, WI (central): 55027","13180","Beaver Dam, WI","micro","Beaver Dam, WI (micro): 13180","c('55027')","376","Milwaukee-Racine-Waukesha, WI","Milwaukee-Racine-Waukesha, WI: 376","c('55027','55079','55089','55131','55133','55101','55055','55127')"
"WV","Fayette County","54019","central","Fayette County, WV (central): 54019","13220","Beckley, WV","metro","Beckley, WV (metro): 13220","c('54019','54081')","","","",""
"WV","Raleigh County","54081","central","Raleigh County, WV (central): 54081","13220","Beckley, WV","metro","Beckley, WV (metro): 13220","c('54019','54081')","","","",""
"IN","Lawrence County","18093","central","Lawrence County, IN (central): 18093","13260","Bedford, IN","micro","Bedford, IN (micro): 13260","c('18093')","144","Bloomington-Bedford, IN","Bloomington-Bedford, IN: 144","c('18093','18105','18119')"
"TX","Bee County","48025","central","Bee County, TX (central): 48025","13300","Beeville, TX","micro","Beeville, TX (micro): 13300","c('48025')","","","",""
"OH","Logan County","39091","central","Logan County, OH (central): 39091","13340","Bellefontaine, OH","micro","Bellefontaine, OH (micro): 13340","c('39091')","198","Columbus-Marion-Zanesville, OH","Columbus-Marion-Zanesville, OH: 198","c('39009','39091','39059','39141','39041','39045','39049','39073','39089','39097','39117','39127','39129','39159','39101','39083','39047','39119')"
"WA","Whatcom County","53073","central","Whatcom County, WA (central): 53073","13380","Bellingham, WA","metro","Bellingham, WA (metro): 13380","c('53073')","","","",""
"MN","Beltrami County","27007","central","Beltrami County, MN (central): 27007","13420","Bemidji, MN","micro","Bemidji, MN (micro): 13420","c('27007')","","","",""
"OR","Crook County","41013","outlying","Crook County, OR (outlying): 41013","13460","Bend, OR","metro","Bend, OR (metro): 13460","c('41013','41017','41031')","","","",""
"OR","Deschutes County","41017","central","Deschutes County, OR (central): 41017","13460","Bend, OR","metro","Bend, OR (metro): 13460","c('41013','41017','41031')","","","",""
"OR","Jefferson County","41031","outlying","Jefferson County, OR (outlying): 41031","13460","Bend, OR","metro","Bend, OR (metro): 13460","c('41013','41017','41031')","","","",""
"VT","Bennington County","50003","central","Bennington County, VT (central): 50003","13540","Bennington, VT","micro","Bennington, VT (micro): 13540","c('50003')","","","",""
"MI","Mecosta County","26107","central","Mecosta County, MI (central): 26107","13660","Big Rapids, MI","micro","Big Rapids, MI (micro): 13660","c('26107')","266","Grand Rapids-Wyoming, MI","Grand Rapids-Wyoming, MI: 266","c('26107','26015','26067','26081','26117','26139','26005','26121')"
"TX","Howard County","48227","central","Howard County, TX (central): 48227","13700","Big Spring, TX","micro","Big Spring, TX (micro): 13700","c('48227')","","","",""
"MT","Carbon County","30009","outlying","Carbon County, MT (outlying): 30009","13740","Billings, MT","metro","Billings, MT (metro): 13740","c('30009','30095','30111')","","","",""
"MT","Stillwater County","30095","outlying","Stillwater County, MT (outlying): 30095","13740","Billings, MT","metro","Billings, MT (metro): 13740","c('30009','30095','30111')","","","",""
"MT","Yellowstone County","30111","central","Yellowstone County, MT (central): 30111","13740","Billings, MT","metro","Billings, MT (metro): 13740","c('30009','30095','30111')","","","",""
"NY","Broome County","36007","central","Broome County, NY (central): 36007","13780","Binghamton, NY","metro","Binghamton, NY (metro): 13780","c('36007','36107')","","","",""
"NY","Tioga County","36107","central","Tioga County, NY (central): 36107","13780","Binghamton, NY","metro","Binghamton, NY (metro): 13780","c('36007','36107')","","","",""
"AL","Bibb County","01007","outlying","Bibb County, AL (outlying): 01007","13820","Birmingham, AL","metro","Birmingham, AL (metro): 13820","c('01007','01009','01021','01073','01115','01117','01127')","142","Birmingham-Cullman-Talladega, AL","Birmingham-Cullman-Talladega, AL: 142","c('01007','01009','01021','01073','01115','01117','01127','01043','01037','01121')"
"AL","Blount County","01009","outlying","Blount County, AL (outlying): 01009","13820","Birmingham, AL","metro","Birmingham, AL (metro): 13820","c('01007','01009','01021','01073','01115','01117','01127')","142","Birmingham-Cullman-Talladega, AL","Birmingham-Cullman-Talladega, AL: 142","c('01007','01009','01021','01073','01115','01117','01127','01043','01037','01121')"
"AL","Chilton County","01021","outlying","Chilton County, AL (outlying): 01021","13820","Birmingham, AL","metro","Birmingham, AL (metro): 13820","c('01007','01009','01021','01073','01115','01117','01127')","142","Birmingham-Cullman-Talladega, AL","Birmingham-Cullman-Talladega, AL: 142","c('01007','01009','01021','01073','01115','01117','01127','01043','01037','01121')"
"AL","Jefferson County","01073","central","Jefferson County, AL (central): 01073","13820","Birmingham, AL","metro","Birmingham, AL (metro): 13820","c('01007','01009','01021','01073','01115','01117','01127')","142","Birmingham-Cullman-Talladega, AL","Birmingham-Cullman-Talladega, AL: 142","c('01007','01009','01021','01073','01115','01117','01127','01043','01037','01121')"
"AL","St. Clair County","01115","central","St. Clair County, AL (central): 01115","13820","Birmingham, AL","metro","Birmingham, AL (metro): 13820","c('01007','01009','01021','01073','01115','01117','01127')","142","Birmingham-Cullman-Talladega, AL","Birmingham-Cullman-Talladega, AL: 142","c('01007','01009','01021','01073','01115','01117','01127','01043','01037','01121')"
"AL","Shelby County","01117","central","Shelby County, AL (central): 01117","13820","Birmingham, AL","metro","Birmingham, AL (metro): 13820","c('01007','01009','01021','01073','01115','01117','01127')","142","Birmingham-Cullman-Talladega, AL","Birmingham-Cullman-Talladega, AL: 142","c('01007','01009','01021','01073','01115','01117','01127','01043','01037','01121')"
"AL","Walker County","01127","outlying","Walker County, AL (outlying): 01127","13820","Birmingham, AL","metro","Birmingham, AL (metro): 13820","c('01007','01009','01021','01073','01115','01117','01127')","142","Birmingham-Cullman-Talladega, AL","Birmingham-Cullman-Talladega, AL: 142","c('01007','01009','01021','01073','01115','01117','01127','01043','01037','01121')"
"CA","Inyo County","06027","central","Inyo County, CA (central): 06027","13860","Bishop, CA","micro","Bishop, CA (micro): 13860","c('06027')","","","",""
"ND","Burleigh County","38015","central","Burleigh County, ND (central): 38015","13900","Bismarck, ND","metro","Bismarck, ND (metro): 13900","c('38015','38059','38065')","","","",""
"ND","Morton County","38059","central","Morton County, ND (central): 38059","13900","Bismarck, ND","metro","Bismarck, ND (metro): 13900","c('38015','38059','38065')","","","",""
"ND","Oliver County","38065","outlying","Oliver County, ND (outlying): 38065","13900","Bismarck, ND","metro","Bismarck, ND (metro): 13900","c('38015','38059','38065')","","","",""
"ID","Bingham County","16011","central","Bingham County, ID (central): 16011","13940","Blackfoot, ID","micro","Blackfoot, ID (micro): 13940","c('16011')","292","Idaho Falls-Rexburg-Blackfoot, ID","Idaho Falls-Rexburg-Blackfoot, ID: 292","c('16011','16019','16023','16051','16043','16065')"
"VA","Floyd County","51063","outlying","Floyd County, VA (outlying): 51063","13980","Blacksburg-Christiansburg-Radford, VA","metro","Blacksburg-Christiansburg-Radford, VA (metro): 13980","c('51063','51071','51121','51155','51750')","","","",""
"VA","Giles County","51071","outlying","Giles County, VA (outlying): 51071","13980","Blacksburg-Christiansburg-Radford, VA","metro","Blacksburg-Christiansburg-Radford, VA (metro): 13980","c('51063','51071','51121','51155','51750')","","","",""
"VA","Montgomery County","51121","central","Montgomery County, VA (central): 51121","13980","Blacksburg-Christiansburg-Radford, VA","metro","Blacksburg-Christiansburg-Radford, VA (metro): 13980","c('51063','51071','51121','51155','51750')","","","",""
"VA","Pulaski County","51155","outlying","Pulaski County, VA (outlying): 51155","13980","Blacksburg-Christiansburg-Radford, VA","metro","Blacksburg-Christiansburg-Radford, VA (metro): 13980","c('51063','51071','51121','51155','51750')","","","",""
